day,asleep,awake,total_asleep,morning_mood,coffee,breakfast,productivity,overall mood
Sat,2024-04-20 4:08:00,2024-04-20 11:20:00,7.2,1,T,F,2,3
Sun,2024-04-21 2:02:00,2024-04-21 10:08:00,8.1,3,T,T,2,3
Mon,2024-04-22 2:08:00,2024-04-22 10:10:00,8.033333333,1,T,T,1,2
Tue,2024-04-23 4:28:00,2024-04-23 8:41:00,4.216666667,1,T,F,1,2
Wed,2024-04-24 3:23:00,2024-04-24 9:19:00,5.933333333,1,T,T,2,1
Thu,04/25/2024 4:05:00,04/25/2024 10:47:00,6.7,3,F,T,2,2
Fri,04/26/2024 2:15:00,04/26/2024 8:38:00,6.383333333,1,T,F,2,3
Sat,04/27/2024 3:07:00,04/27/2024 9:14:00,6.116666667,1,T,F,2,2
Sun,04/28/2024 2:47:00,04/28/2024 10:32:00,7.75,3,T,T,3,2
Mon,04/29/2024 4:36:00,04/29/2024 9:28:00,4.866666667,1,T,F,2,1
Tue,04/30/2024 2:24:00,04/30/2024 10:18:00,7.9,3,F,T,3,2
Wed,05/01/2024 4:27:00,05/01/2024 10:01:00,5.566666667,2,F,F,2,2
Thu,05/02/2024 2:53:00,05/02/2024 11:12:00,8.316666667,3,T,F,1,3
Fri,05/03/2024 3:59:00,05/03/2024 10:58:00,6.983333333,2,F,T,1,2
Sat,05/04/2024 2:12:00,05/04/2024 9:32:00,7.333333333,3,F,F,3,2
Sun,05/05/2024 3:22:00,05/05/2024 10:53:00,7.516666667,1,T,T,3,1
Mon,05/06/2024 4:44:00,05/06/2024 10:52:00,6.133333333,1,T,T,2,2
Tue,05/07/2024 3:53:00,05/07/2024 9:45:00,5.866666667,2,T,T,1,2
Wed,05/08/2024 3:26:00,05/08/2024 10:32:00,7.1,2,T,F,2,2
Thu,05/09/2024 4:43:00,05/09/2024 8:55:00,4.2,1,T,F,2,2
Fri,05/10/2024 3:03:00,05/10/2024 9:43:00,6.666666667,2,T,T,2,2
Sat,05/11/2024 4:43:00,05/11/2024 10:49:00,6.1,2,T,F,2,2
Sun,05/12/2024 2:39:00,05/12/2024 8:33:00,5.9,2,T,T,1,2
Mon,05/13/2024 3:46:00,05/13/2024 10:34:00,6.8,2,T,F,1,2
Tue,05/14/2024 4:07:00,05/14/2024 10:31:00,6.4,1,T,T,2,3
Wed,05/15/2024 3:22:00,05/15/2024 11:09:00,7.783333333,1,T,F,1,2
Thu,05/16/2024 4:51:00,05/16/2024 11:27:00,6.6,1,T,T,2,1
Fri,05/17/2024 4:15:00,05/17/2024 9:48:00,5.55,2,T,F,3,2
Sat,05/18/2024 3:05:00,05/18/2024 9:13:00,6.133333333,2,T,F,3,2
Sun,05/19/2024 2:39:00,05/19/2024 10:39:00,8,3,T,F,2,3
Mon,05/20/2024 2:59:00,05/20/2024 10:01:00,7.033333333,2,T,T,1,2
Tue,05/21/2024 3:55:00,05/21/2024 9:43:00,5.8,1,T,F,1,2
Wed,05/22/2024 3:27:00,05/22/2024 11:12:00,7.75,1,T,F,1,3
Thu,05/23/2024 2:06:00,05/23/2024 9:35:00,7.483333333,1,T,F,2,2
Fri,05/24/2024 3:19:00,05/24/2024 10:53:00,7.566666667,2,T,T,2,1
Sat,05/25/2024 3:25:00,05/25/2024 9:02:00,5.616666667,1,T,F,3,2
Sun,05/26/2024 1:55:00,05/26/2024 8:00:00,6.083333333,2,T,F,3,2
Mon,05/26/2024 23:50:00,05/27/2024 7:15:00,7.416666667,3,T,F,3,3
Tue,05/27/2024 22:58:00,05/28/2024 6:24:00,7.433333333,3,T,T,3,3
Wed,05/28/2024 22:54:00,05/29/2024 6:38:00,7.733333333,3,T,T,2,3
Thu,05/29/2024 22:52:00,05/30/2024 7:46:00,8.9,3,T,T,3,3
Fri,05/31/2024 0:20:00,05/31/2024 7:00:00,6.666666667,3,T,T,3,3
